$id,$permissions,$createdAt,$updatedAt,name,qty,tag,price,sectionId
baby_1,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:25.482+00:00,2026-04-06T10:21:25.482+00:00,حفاظات بيبي جوي شوال,شوال,p,11,baby
baby_2,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:25.766+00:00,2026-04-06T10:21:25.766+00:00,مناديل مبللة للأطفال,حبة,p,0.99,baby
baby_3,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:26.064+00:00,2026-04-06T10:21:26.064+00:00,عصير المراعي ست باكيتات,حبة,s,1.5,baby
baby_4,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:26.377+00:00,2026-04-06T10:21:26.377+00:00,عصير صن توب 12 بكيت,حبة,s,1.95,baby
personal_0,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:26.678+00:00,2026-04-06T10:21:26.678+00:00,شامبو كبير,1 حبة,p,5.35,personal
personal_1,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:26.962+00:00,2026-04-06T10:21:26.962+00:00,سبيرتو,حبة,p,1,personal
personal_2,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:27.257+00:00,2026-04-06T10:21:27.257+00:00,نكشات اسنان silver,حبة,p,0.7,personal
personal_3,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:27.561+00:00,2026-04-06T10:21:27.561+00:00,نكشات اذن silver,1,p,0.69,personal
snacks_0,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:27.855+00:00,2026-04-06T10:21:27.855+00:00,شوكولاتة,حسب الرغبة,s,0,snacks
snacks_1,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:28.163+00:00,2026-04-06T10:21:28.163+00:00,شيبس,حسب الرغبة,s,0,snacks
snacks_2,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:28.461+00:00,2026-04-06T10:21:28.461+00:00,عصير (معبأ),6 علب,s,0,snacks
snacks_3,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:28.796+00:00,2026-04-06T10:21:28.796+00:00,كيك نون,بكيت,s,1.25,snacks
snacks_4,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:29.096+00:00,2026-04-06T10:21:29.096+00:00,كريم كراميل نون,حبة,s,0.31,snacks
snacks_5,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:29.404+00:00,2026-04-06T10:21:29.404+00:00,كستر نون بكيت 300 جرام,بكيت,s,0.64,snacks
snacks_6,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:29.741+00:00,2026-04-06T10:21:29.741+00:00,جلي نون نباتي 4 باكيتات,بكيت,s,0.99,snacks
snacks_7,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:30.030+00:00,2026-04-06T10:21:30.030+00:00,جلي نون بالحبة,حبة,s,0.27,snacks
snacks_8,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:30.332+00:00,2026-04-06T10:21:30.332+00:00,تايجر حلاوة 300 جرام,حبة,s,0.95,snacks
snacks_9,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:30.623+00:00,2026-04-06T10:21:30.623+00:00,هلو تكساس الكبيرة 500 مل,حبة,s,1.99,snacks
snacks_10,"[""read(\""any\"")"",""update(\""any\"")"",""delete(\""any\"")""]",2026-04-06T10:21:30.906+00:00,2026-04-06T10:21:30.906+00:00,هلو صلصة الفلفل الحلو 500 مل,حبة,s,1.99,snacks
